Bucket,Month,ConvArea,GeoArea,Delta,SpComplexity,SpDensity,Service_Time
33,1,236.7691277981763,0.5264686734286136,9.17293265763694,0.00046043329454485856,0.008022364515419909,65.720574845679
34,1,232.2994823541292,0.584446381605871,9.694040269264717,0.0004440654027550314,0.00736558225352744,41.991273148148146
35,1,274.4707875315194,0.608016518345987,10.095549476771689,0.000360889220370002,0.005992230260108958,40.06532638888889
36,1,273.8379750333834,0.6397301021340726,9.633798466781219,0.00037906070715420435,0.0057083361361567565,16.073583333333335
37,1,283.4589967749952,0.5923638721826956,10.170274368000957,0.0003468782624008111,0.005955540617142209,94.39270800264549
38,1,244.8653184130014,0.6211721853377067,9.518966076967294,0.00042902533871605296,0.006574469594412487,85.72139814814814
39,1,234.76153150167394,0.539869263889744,9.431878386725634,0.00045162177526166897,0.007890135530914633,57.685609567901224
40,1,236.33296442480355,0.5569073408752707,9.829863676655709,0.0004304554417805306,0.007597885682251948,91.51778333333331
41,1,269.9665494701715,0.578442982193559,10.183766800096702,0.0003637320736299674,0.006403678028068289,72.20145833333333
42,1,290.3140475451307,0.5385073734171216,10.267851916969525,0.00033546896796511784,0.006396468935879022,65.29939043209878
43,1,261.4345804325358,0.5465017882948497,10.211961663499912,0.0003745655162367824,0.006999151282219369,66.09206018518522
44,1,247.22695265289005,0.5471374144250761,10.091738912436126,0.00040080965822908947,0.007392779798619718,62.99394312169312
45,1,243.24034658419467,0.5788903592080915,9.582512471936178,0.00042902736425841495,0.0071017939812163,129.93773611111112
46,1,240.00071040663272,0.6439598465812434,9.882671802419297,0.00042161213248371603,0.006470363572162592,159.54630092592592
47,1,247.06715843188798,0.693320513421064,9.760963361503139,0.00041466014672775475,0.005837823086632131,161.7408700396825
48,1,262.0181514931264,0.5727384914109968,9.576825275407634,0.00039851718834512897,0.006663651106503469,103.69878472222223
49,1,252.6577674163189,0.6556141802371672,9.959809501280713,0.0003973894323858702,0.006036969857719624,58.01550925925926
50,1,243.83771264555358,0.6502098101030948,9.909090320206918,0.00041387132488707277,0.006307330765433164,69.24159444444443
